Name,ZIP,Median_Income,Median_Age,Median_Male_Age,Median_Female_Age,Has_Thrift_Store,List_of_Stores
Shepherd,48883,62250.00,40.3,44.7,34.5,,
Sheridan,48884,80438.00,47.1,46.4,47.7,,
Sidney,48885,63185.28,44.5,43.7,45.2,,
Six Lakes,48886,99093.00,36.9,36.7,37.5,,
Stanton,48888,65000.00,42.6,42.8,42.5,,
Sumner,48889,64720.00,41.1,39.3,42.3,,
Sunfield,48890,50700.00,43.2,42.3,44.1,,
Vestaburg,48891,29551.00,26.6,33.3,25.8,,
Webberville,48892,67344.00,40.1,43.3,39,,
Weidman,48893,69025.00,42.1,41.8,42.3,,
Westphalia,48894,82607.00,33.4,37.7,27.2,,
Williamston,48895,64125.00,42.1,53.3,34.7,,
Winn,48896,83479.00,38.4,36.8,39.3,,
Woodland,48897,65518.00,32.9,31.4,34.7,,
Lansing,48906,48625.00,49.8,51.2,49,,
Lansing,48910,49185.00,44.4,38.4,49.1,,
Lansing,48911,74928.00,40.9,37.8,43.6,,
Lansing,48912,50780.00,39.6,38.5,41.1,,
Lansing,48915,67171.00,39.6,44.3,32.3,,
Lansing,48917,60844.00,42.9,45.5,41.6,,
Lansing,48933,54676.00,43.6,47.5,41.8,,
Kalamazoo,49001,62596.00,46.8,51.4,42.2,,
Kalamazoo,49002,58295.00,48.6,44.9,49.7,,
Parchment,49004,50475.00,47.9,42.9,52.2,,
Kalamazoo,49006,56667.00,47.9,48.5,47.4,,
Kalamazoo,49007,58828.00,40.1,38.9,40.3,,
Kalamazoo,49008,53182.00,34.3,33.4,35.9,,
Kalamazoo,49009,78030.00,42.8,41.8,44.2,,
Allegan,49010,63669.00,44.9,48.2,41.7,,
Athens,49011,85385.00,34.4,36,33.5,,
Augusta,49012,100563.00,45.3,45.6,44.7,,
Bangor,49013,63185.28,26.7,21.7,40.8,,
Zcta 49014,49014,60125.00,42.3,42.6,41.8,,
Battle Creek,49015,53125.00,35.2,35.9,34.2,,
Battle Creek,49016,45280.00,33.4,31.6,35,,
Battle Creek,49017,49886.00,33.6,32.8,34.7,,
Bellevue,49021,47174.00,33,31.1,34.9,,
Benton Harbor,49022,46544.00,29.9,27.6,32.7,,
Zcta 49024,49024,66096.00,42.3,39.4,46.1,,
Bloomingdale,49026,31313.00,30.3,29.7,32.4,,
Breedsville,49027,49414.00,31.3,31.2,31.4,,
Bronson,49028,63080.00,37.2,38.2,36.4,,
Burlington,49029,60235.00,37.6,36.2,38.6,,
Burr Oak,49030,39193.00,23,23.4,22.8,,
Cassopolis,49031,33120.00,27.2,27.9,26.5,,
Centreville,49032,60000.00,30.7,29.5,32.1,,
Ceresco,49033,74491.00,37.5,36.2,38.5,,
Climax,49034,61117.00,37.8,37.3,38.6,,
Coldwater,49036,53813.00,45,45.6,40.3,,
Coloma,49038,78173.00,40.2,38.9,40.7,,
Colon,49040,55918.00,37.6,37.7,37.1,,
Constantine,49042,56703.00,42.6,42,44.6,,
Covert,49043,61321.00,38.2,36.4,39.5,,
Decatur,49045,50215.00,44.8,44.3,46.9,,
Delton,49046,69047.00,39.3,38,42.4,,
Dowagiac,49047,33402.00,37.3,34.7,40,,
Dowling,49050,73711.00,36.5,34.8,37.8,,
East Leroy,49051,57809.00,40.7,45.1,38.3,,
Fulton,49052,63185.28,34.5,17.9,44.3,,
Galesburg,49053,59069.00,41.4,41,41.9,,
Gobles,49055,64948.00,45.2,47.6,42.4,,
Grand Junction,49056,59833.00,34.1,30.9,36.5,,
Hartford,49057,56369.00,48.5,48.6,48.5,,
Hastings,49058,61477.00,38.5,38.5,38.5,,
Hickory Corners,49060,85179.00,48.6,50.3,48.2,,
Jones,49061,63384.00,43.1,39.9,43.7,,
Lawrence,49064,54518.00,42.7,43.4,40.9,,
Lawton,49065,37739.00,35.2,34.4,35.6,,
Leonidas,49066,57741.00,45.1,44.1,46.6,,
Marcellus,49067,54143.00,42.3,37.6,44.1,,
Marshall,49068,61875.00,46.8,45.3,48.5,,
Martin,49070,31028.00,40.4,34.5,40.9,,
Mattawan,49071,51709.00,48.8,48.4,49.3,,
Mendon,49072,76657.00,49.5,48.9,49.9,,
Nashville,49073,50655.00,41.2,39.5,41.9,,
Nottawa,49075,54042.00,34,33.4,34.9,,
Olivet,49076,67188.00,48.7,49.2,45.7,,
Otsego,49078,89310.00,35.5,31.4,41.3,,
